pregunta,a,b,c,d,correcta,materia,tema
"En la reacción 2Na + Cl2 → 2NaCl, el cloro:","A) Se oxida","B) Se reduce","C) Es el agente reductor","D) Pierde electrones",B,Química,Reacciones de óxido-reducción
"En una celda galvánica (voltaica):","A) La energía química se convierte en energía eléctrica","B) La energía eléctrica se convierte en energía química","C) No hay transferencia de electrones","D) Ocurre electrólisis",A,Química,Reacciones de óxido-reducción
"El proceso por el cual el nitrógeno atmosférico (N2) se convierte en compuestos utilizables por las plantas se llama:","A) Nitrificación","B) Desnitrificación","C) Fijación de nitrógeno","D) Amonificación",C,Química,Ciclos del oxígeno| nitrógeno y carbono
"La quema de combustibles fósiles incrementa la concentración atmosférica de:","A) Oxígeno","B) Nitrógeno","C) Dióxido de carbono","D) Argón",C,Química,Ciclos del oxígeno| nitrógeno y carbono
"El ozono (O3) en la estratosfera es beneficioso porque:","A) Es un contaminante que causa smog","B) Absorbe la radiación ultravioleta del sol","C) Mejora la respiración","D) Aumenta la temperatura de la Tierra",B,Química,Contaminantes del aire
"La lluvia ácida puede dañar:","A) Edificios y monumentos de mármol o caliza","B) Bosques y lagos","C) Suelos","D) Todas las anteriores",D,Química,Contaminantes del aire
"La quitina, presente en el exoesqueleto de artrópodos, es un:","A) Monosacárido","B) Polisacárido","C) Lípido","D) Proteína",B,Química,Carbohidratos
"El glucógeno es un polisacárido de reserva en:","A) Plantas","B) Animales y hongos","C) Bacterias","D) Todos los seres vivos",B,Química,Carbohidratos
"Los esteroides son un tipo de lípido que incluye:","A) Fosfolípidos","B) Triglicéridos","C) Colesterol y hormonas sexuales","D) Ceras",C,Química,Lípidos
"Los ácidos grasos omega-3 son:","A) Saturados","B) Insaturados y beneficiosos para la salud cardiovascular","C) Solo de origen animal","D) Líquidos a temperatura ambiente pero se solidifican fácilmente",B,Química,Lípidos
"La insulina es una hormona de naturaleza:","A) Lipídica","B) Proteica","C) Glucídica","D) Mineral",B,Química,Proteínas
"La mioglobina es una proteína que almacena oxígeno en:","A) La sangre","B) Los músculos","C) Los pulmones","D) El hígado",B,Química,Proteínas
"La vitamina K es esencial para:","A) La visión nocturna","B) La coagulación sanguínea","C) La absorción de calcio","D) La síntesis de colágeno",B,Química,Vitaminas y minerales: fuentes e importancia
"El sodio y el potasio son minerales importantes para:","A) La transmisión del impulso nervioso","B) La formación de huesos","C) El transporte de oxígeno","D) La síntesis de hormonas tiroideas",A,Química,Vitaminas y minerales: fuentes e importancia
"La reacción de descomposición del carbonato de calcio con calor (CaCO3 → CaO + CO2) es:","A) Exotérmica","B) Endotérmica","C) Neutra","D) Redox",B,Química,Reacciones químicas endotérmicas y exotérmicas
"En un diagrama de energía de una reacción exotérmica, la energía de los productos es:","A) Mayor que la de los reactivos","B) Menor que la de los reactivos","C) Igual que la de los reactivos","D) No se puede determinar",B,Química,Reacciones químicas endotérmicas y exotérmicas
"Una sustancia que no puede descomponerse en otras más simples por métodos químicos ordinarios es:","A) Un compuesto","B) Una mezcla","C) Un elemento","D) Una solución",C,Química,Sustancias químicas
"Los electrones en un átomo se distribuyen en niveles de energía. El número máximo de electrones en el primer nivel (n=1) es:","A) 2","B) 8","C) 18","D) 32",A,Química,Estructura atómica
"El principio de Aufbau establece que los electrones ocupan orbitales:","A) De mayor a menor energía","B) De menor a mayor energía","C) Aleatoriamente","D) Según el principio de exclusión de Pauli",B,Química,Estructura atómica
"La reactividad de los metales alcalinos (grupo 1) aumenta:","A) Al bajar en el grupo","B) Al subir en el grupo","C) De izquierda a derecha","D) No varía",A,Química,Tabla periódica
"Los elementos del grupo 2 se denominan:","A) Alcalinos","B) Alcalinotérreos","C) Halógenos","D) Gases nobles",B,Química,Tabla periódica
"El óxido de aluminio (Al2O3) es anfótero. En contacto con un ácido fuerte se comporta como:","A) Ácido","B) Base","C) Sal","D) Óxido ácido",B,Química,Clasificación de los compuestos en óxidos básicos| óxidos ácidos| ácidos| bases y sales
"El ácido nítrico (HNO3) es un ácido fuerte. En agua se ioniza produciendo:","A) H+ y NO3-","B) H2 y NO3","C) OH- y NO2","D) H2O y NO",A,Química,Clasificación de los compuestos en óxidos básicos| óxidos ácidos| ácidos| bases y sales
"El volumen molar de un gas ideal en condiciones normales (0°C y 1 atm) es:","A) 22.4 L/mol","B) 1 L/mol","C) 10 L/mol","D) 24.5 L/mol",A,Química,Mol
"¿Cuántos moles de moléculas de agua hay en 9 x 10^23 moléculas de H2O?","A) 0.5 moles","B) 1.5 moles","C) 9 moles","D) 6.022 moles",B,Química,Mol
"La propiedad del agua que permite a algunos insectos caminar sobre su superficie se llama:","A) Viscosidad","B) Tensión superficial","C) Capilaridad","D) Densidad",B,Química,Propiedades físicas: puntos de ebullición y de fusión| capacidad calorífica específica
"La capilaridad del agua, que le permite ascender por tubos delgados, se debe a:","A) La gravedad","B) La adhesión y cohesión","C) La baja densidad","D) La alta presión de vapor",B,Química,Propiedades físicas: puntos de ebullición y de fusión| capacidad calorífica específica
"El calor específico del agua es de 1 cal/g°C. Esto significa que para calentar 10 g de agua de 20°C a 30°C se necesitan:","A) 10 calorías","B) 100 calorías","C) 1 caloría","D) 20 calorías",B,Química,Propiedades físicas: puntos de ebullición y de fusión| capacidad calorífica específica
"El agua pesada (D2O) tiene propiedades físicas ligeramente diferentes al agua normal debido a:","A) La presencia de deuterio (isótopo de H con 1 neutrón)","B) La presencia de tritio","C) La falta de oxígeno","D) La presencia de oxígeno-18",A,Química,Propiedades químicas: tipo de enlace  capacidad (poder) disolvente del agua
"Un ácido débil como el ácido acético (CH3COOH) en agua:","A) Se disocia completamente","B) Está poco disociado, estableciéndose un equilibrio","C) No se disocia","D) Solo se disocia a alta temperatura",B,Química,Ácidos y bases
"Un amortiguador (buffer) de pH está formado generalmente por:","A) Un ácido fuerte y su sal","B) Una base fuerte y su sal","C) Un ácido débil y su sal conjugada (o base débil y su ácido conjugado)","D) Dos ácidos fuertes",C,Química,Ácidos y bases
"La molalidad (m) se define como:","A) Moles de soluto por litro de solución","B) Moles de soluto por kilogramo de solvente","C) Gramos de soluto por litro de solución","D) Equivalentes de soluto por litro de solución",B,Química,Soluciones y disoluciones
"Cuando se disuelve un gas en un líquido, la solubilidad generalmente aumenta con:","A) El aumento de temperatura","B) La disminución de presión","C) El aumento de presión","D) La agitación",C,Química,Soluciones y disoluciones
"La contaminación térmica del agua afecta principalmente:","A) El sabor del agua","B) La solubilidad de gases como el oxígeno, afectando la vida acuática","C) La turbidez","D) La dureza del agua",B,Química,Contaminación del agua
"La dureza del agua es causada principalmente por la presencia de iones:","A) Sodio y potasio","B) Calcio y magnesio","C) Hierro y cobre","D) Cloruro y sulfato",B,Química,Contaminación del agua
"En las plantas, el agua sube desde las raíces hasta las hojas principalmente por:","A) Presión osmótica y capilaridad","B) Difusión simple","C) Transporte activo","D) Bombas de protones",A,Química,Importancia y aplicaciones del agua para la humanidad
"La desalinización del agua de mar para obtener agua potable puede realizarse por:","A) Destilación","B) Ósmosis inversa","C) Ambas técnicas","D) Ninguna, no es posible",C,Química,Uso respondable y preservación del agua
"Además de los gases principales, el aire contiene trazas de:","A) Neón, helio, kriptón","B) Dióxido de carbono y vapor de agua","C) Ozono","D) Todas las anteriores",D,Química,¿Qué es el aire?
"En una reacción de combustión incompleta, un hidrocarburo puede producir:","A) CO2 y H2O","B) C (hollín) y H2O","C) CO y H2O","D) B y C son posibles",D,Química,Reacciones del oxígeno
"En la reacción Fe2O3 + 3CO → 2Fe + 3CO2, el agente reductor es:","A) Fe2O3","B) CO","C) Fe","D) CO2",B,Química,Reacciones de óxido-reducción
"En la electrólisis del agua (2H2O → 2H2 + O2), ocurre:","A) Una conversión de energía eléctrica en química (reacción no espontánea)","B) Una conversión de energía química en eléctrica","C) Una reacción redox espontánea","D) Una reacción de combustión",A,Química,Reacciones de óxido-reducción
"La respiración celular y la combustión son procesos que liberan CO2 a la atmósfera y son parte del ciclo del:","A) Nitrógeno","B) Oxígeno","C) Carbono","D) B y C son correctas",D,Química,Ciclos del oxígeno, nitrógeno y carbono
"La deforestación afecta el ciclo del carbono porque:","A) Aumenta la fotosíntesis","B) Disminuye la cantidad de CO2 atmosférico","C) Reduce los sumideros de carbono (árboles que absorben CO2)","D) Aumenta la fijación de nitrógeno",C,Química,Ciclos del oxígeno nitrógeno y carbono
"El dióxido de nitrógeno (NO2) es un contaminante que contribuye a la formación de:","A) Ozono estratosférico","B) Lluvia ácida y smog fotoquímico","C) Partículas suspendidas primarias","D) Inversión térmica",B,Química,Contaminantes del aire
"La inversión térmica es un fenómeno meteorológico que:","A) Favorece la dispersión de contaminantes","B) Atrapa los contaminantes cerca de la superficie","C) Aumenta la lluvia","D) Disminuye la temperatura en la estratosfera",B,Química,Contaminantes del aire
"La ribosa y la desoxirribosa son azúcares de 5 carbonos importantes en:","A) La formación de lípidos","B) La formación de nucleótidos (ARN y ADN)","C) La reserva energética","D) La estructura de las membranas",B,Química,Carbohidratos
"La fibra dietética, como la celulosa, es un carbohidrato que:","A) Es digerida por enzimas humanas","B) No es digerida por humanos pero es importante para la salud digestiva","C) Es fuente principal de energía","D) Se almacena en el hígado",B,Química,Carbohidratos
"Las lipoproteínas son complejos de lípidos y proteínas que transportan lípidos en la sangre. Un ejemplo son las:","A) Hemoglobinas","B) HDL y LDL (colesterol ""bueno"" y ""malo"")","C) Insulina","D) Enzimas digestivas",B,Química,Lípidos
"Los eicosanoides (como prostaglandinas) son lípidos derivados de ácidos grasos que actúan como:","A) Mensajeros químicos locales","B) Componentes estructurales de membranas","C) Reserva energética","D) Vitaminas",A,Química,Lípidos
"La estructura secundaria de las proteínas se refiere a arreglos como:","A) La secuencia de aminoácidos","B) Las hélices alfa y láminas beta","C) El plegamiento tridimensional","D) La asociación de varias cadenas polipeptídicas",B,Química,Proteínas
"La hemoglobina tiene estructura cuaternaria porque:","A) Tiene una secuencia específica de aminoácidos","B) Está formada por cuatro cadenas polipeptídicas","C) Tiene enlaces disulfuro","D) Presenta hélices alfa",B,Química,Proteínas
"La vitamina C (ácido ascórbico) es:","A) Soluble en grasas","B) Soluble en agua","C) Una hormona","D) Un mineral",B,Química,Vitaminas y minerales: fuentes e importancia
"El yodo es un mineral necesario para la síntesis de hormonas:","A) Tiroideas","B) Sexuales","C) Del crecimiento","D) Insulina",A,Química,Vitaminas y minerales: fuentes e importancia
"La reacción de fotosíntesis: 6CO2 + 6H2O + energía lumínica → C6H12O6 + 6O2 es:","A) Exotérmica","B) Endotérmica","C) Reducción","D) B y C son correctas",D,Química,Reacciones químicas endotérmicas y exotérmicas
"El calor de reacción (ΔH) para una reacción exotérmica es:","A) Positivo","B) Negativo","C) Cero","D) Depende",B,Química,Reacciones químicas endotérmicas y exotérmicas
"¿Cuál de las siguientes es una mezcla heterogénea?","A) Aire","B) Agua salada","C) Granito","D) Alcohol en agua",C,Química,Sustancias químicas
"La configuración electrónica del sodio (Z=11) es:","A) 1s2 2s2 2p6 3s1","B) 1s2 2s2 2p6","C) 1s2 2s2 2p6 3s2","D) 1s2 2s2 2p5",A,Química,Estructura atómica
"El principio de exclusión de Pauli establece que:","A) Los electrones se repelen entre sí","B) En un orbital puede haber como máximo dos electrones con espines opuestos","C) Los electrones ocupan orbitales de menor energía primero","D) Los electrones se distribuyen en subniveles",B,Química,Estructura atómica
"El radio atómico generalmente aumenta:","A) De izquierda a derecha en un periodo","B) De arriba hacia abajo en un grupo","C) Con el aumento de la carga nuclear efectiva","D) En los no metales",B,Química,Tabla periódica
"La energía de ionización es la energía necesaria para:","A) Añadir un electrón a un átomo gaseoso","B) Extraer un electrón de un átomo gaseoso","C) Extraer un protón del núcleo","D) Romper un enlace covalente",B,Química,Tabla periódica
"El P2O5 (pentóxido de difósforo) es un óxido ácido. Al reaccionar con agua forma:","A) Ácido fosfórico (H3PO4)","B) Ácido fosforoso (H3PO3)","C) Hidróxido de fósforo","D) Sal de fósforo",A,Química,Clasificación de los compuestos en óxidos básicos| óxidos ácidos| ácidos| bases y sales
"El hidróxido de calcio, Ca(OH)2, se usa en la construcción (mortero). Es una:","A) Base fuerte","B) Base débil","C) Sal","D) Ácido",A,Química,Clasificación de los compuestos en óxidos básico| óxidos ácidos| ácidos| bases y sales
"¿Cuántos átomos de oxígeno hay en 0.5 moles de O2?","A) 3.011 x 10^23","B) 6.022 x 10^23","C) 1.2044 x 10^24","D) 6.022 x 10^22",B,Química,Mol
"La masa de un átomo de carbono-12 es:","A) 12 g","B) 12 uma","C) 1 g","D) 6.022 x 10^23 g",B,Química,Mol
"El enlace de hidrógeno es más fuerte que:","A) Los enlaces covalentes","B) Los enlaces iónicos","C) Las fuerzas de dispersión de London","D) Los enlaces metálicos",C,Química,Composición del agua y estructura molecular
"La propiedad del agua que permite que sirva como lubricante en las articulaciones es su:","A) Viscosidad","B) Tensión superficial","C) Capilaridad","D) Incompresibilidad relativa",A,Química,Propiedades físicas: puntos de ebullición y de fusión| capacidad calorífica específica
"Cuando el agua se evapora, tiene un efecto refrescante porque:","A) El vapor de agua es más caliente","B) Absorbe calor del entorno (calor latente de vaporización)","C) Libera calor","D) Condensa la humedad",B,Química,Propiedades físicas: puntos de ebullición y de fusión| capacidad calorífica específica
"El agua dura no forma espuma fácilmente con jabón debido a que forma:","A) Sales insolubles (grasas metálicas)","B) Ácidos","C) Bases","D) Soluciones coloidales",A,Química,Propiedades químicas: tipo de enlace| capacidad (poder) disolvente del agua
"Según la teoría de Lewis, un ácido es:","A) Donador de protones","B) Aceptor de pares de electrones","C) Donador de pares de electrones","D) Productor de OH-",B,Química,Ácidos y bases
"El pH de una solución 0.01 M de HCl (ácido fuerte) es aproximadamente:","A) 1","B) 2","C) 7","D) 12",B,Química,Ácidos y bases
"Una solución 1 M de NaOH tiene una concentración de iones OH- de:","A) 1 M","B) 10^-7 M","C) 10^-14 M","D) 0.1 M",A,Química,Soluciones y disoluciones
"La solubilidad de un sólido en un líquido generalmente aumenta con:","A) El aumento de temperatura","B) La disminución de temperatura","C) La presión","D) La agitación",A,Química,Soluciones y disoluciones
"La presencia de nitratos y fosfatos en exceso en cuerpos de agua puede causar:","A) Dureza del agua","B) Eutrofización","C) Acidificación","D) Salinización",B,Química,Contaminación del agua
"La filtración con carbón activado se usa para eliminar:","A) Olores y sabores","B) Dureza","C) Bacterias","D) Virus",A,Química,Contaminación del agua
"El agua es el solvente universal en los sistemas biológicos porque:","A) Disuelve una gran variedad de sustancias","B) Es barata","C) Es incolora","D) Tiene un pH neutro",A,Química,Importancia y aplicaciones del agua para la humanidad
"La sobreexplotación de acuíferos puede causar:","A) Inundaciones","B) Subsidencia del terreno y salinización","C) Aumento del nivel freático","D) Mejor calidad del agua",B,Química,Uso respondable y preservación del agua
"El aire es esencial para la vida porque proporciona:","A) Oxígeno para la respiración","B) Dióxido de carbono para la fotosíntesis","C) Nitrógeno para la síntesis de proteínas","D) Todas las anteriores",D,Química,¿Qué es el aire?
"La oxidación de los alimentos en las células para producir energía es una forma de:","A) Combustión lenta","B) Combustión rápida","C) Reducción","D) Fermentación",A,Química,Reacciones del oxígeno
"En la reacción de descomposición del agua por electrólisis, en el ánodo se produce:","A) Hidrógeno","B) Oxígeno","C) Agua","D) Ozono",B,Química,Reacciones de óxido-reducción
"El número de oxidación del azufre en H2SO4 es:","A) +2","B) +4","C) +6","D) -2",C,Química,Reacciones de óxido-reducción
"El proceso de putrefacción de materia orgánica libera amoníaco (NH3) al suelo, lo que seconoce como:","A) Fijación","B) Nitrificación","C) Amonificación","D) Desnitrificación",C,Química,Ciclos del oxígeno| nitrógeno y carbono
"La fermentación es un proceso anaeróbico que:","A) Libera CO2","B) No requiere oxígeno","C) Es utilizado por levaduras en la producción de pan y alcohol","D) Todas las anteriores",D,Química,Ciclos del oxígeno| nitrógeno y carbono
"El metano (CH4) es un gas de efecto invernadero que proviene de:","A) La descomposición de materia orgánica en ausencia de oxígeno","B) La combustión completa de carbón","C) La respiración de animales","D) La fotosíntesis",A,Química,Contaminantes del aire
"El plomo (Pb) en el aire proviene históricamente de:","A) Combustibles con plomo en los automóviles","B) La erosión del suelo","C) Emisiones volcánicas","D) La respiración",A,Química,Contaminantes del aire
"La fructosa es un monosacárido que se encuentra en las frutas. Es una:","A) Hexosa","B) Pentosa","C) Tetrosa","D) Triosa",A,Química,Carbohidratos
"La maltosa es un disacárido formado por dos moléculas de glucosa. Se obtiene de la hidrólisis de:","A) Sacarosa","B) Lactosa","C) Almidón","D) Celulosa",C,Química,Carbohidratos
"Las lipasas son enzimas que digieren:","A) Carbohidratos","B) Lípidos","C) Proteínas","D) Ácidos nucleicos",B,Química,Lípidos
"La aterosclerosis está relacionada con la acumulación de:","A) Glucógeno","B) Colesterol (LDL) en las arterias","C) Proteínas","D) Vitaminas",B,Química,Lípidos
"La queratina es una proteína estructural presente en:","A) Pelo, uñas, plumas","B) Sangre","C) Leche","D) Huevos",A,Química,Proteínas
"La desnaturalización de una proteína puede ser causada por:","A) Cambios de pH","B) Altas temperaturas","C) Sales de metales pesados","D) Todas las anteriores",D,Química,Proteínas
"La vitamina E actúa como:","A) Antioxidante","B) Coagulante","C) Hormona","D) Transportador de oxígeno",A,Química,Vitaminas y minerales: fuentes e importancia
"El fósforo es un mineral importante para:","A) La formación de huesos y dientes","B) La molécula de ATP (energía)","C) El ADN","D) Todas las anteriores",D,Química,Vitaminas y minerales: fuentes e importancia
"La reacción de hidratación del ácido sulfúrico concentrado con agua es:","A) Endotérmica","B) Exotérmica (muy vigorosa)","C) No libera calor","D) Redox",B,Química,Reacciones químicas endotérmicas y exotérmicas
"La entalpía (H) es una medida de:","A) La energía cinética de un sistema","B) El contenido de calor a presión constante","C) La entropía","D) La energía libre",B,Química,Reacciones químicas endotérmicas y exotérmicas
"La ley de la conservación de la masa, fundamental en las reacciones químicas, fue postulada por:","A) John Dalton","B) Antoine Lavoisier","C) Robert Boyle","D) Amedeo Avogadro",B,Química,Sustancias químicas
"Un sistema coloidal se diferencia de una solución verdadera porque:","A) Sus partículas son de tamaño atómico","B) Sus partículas son más grandes y dispersan la luz (efecto Tyndall)","C) Siempre es transparente","D) No puede ser separado por filtración",B,Química,Soluciones y disoluciones
"La unidad de masa atómica (uma) se define como:","A) La masa de un átomo de hidrógeno","B) La doceava parte de la masa de un átomo de carbono-12","C) La masa de un mol de protones","D) La masa de un electrón",B,Química,Estructura atómica
"El proceso de ósmosis implica el paso de:","A) Soluto a través de una membrana semipermeable","B) Solvente a través de una membrana semipermeable hacia la región de mayor concentración de soluto","C) Solvente a través de una membrana semipermeable hacia la región de menor concentración de soluto","D) Partículas coloidales a través de un filtro",B,Química,Propiedades químicas: tipo de enlace| capacidad (poder) disolvente del agua
"La sacarosa (azúcar común) se clasifica como un:","A) Monosacárido","B) Disacárido","C) Polisacárido","D) Oligosacárido",B,Química,Carbohidratos
"La escala de pH fue propuesta por:","A) Arrhenius","B) Brønsted y Lowry","C) Sørensen","D) Lewis",C,Química,Ácidos y bases
"¿Cuál de los siguientes procesos NO es parte del ciclo del nitrógeno?","A) Fotosíntesis","B) Fijación","C) Nitrificación","D) Desnitrificación",A,Química,Ciclos del oxígeno| nitrógeno y carbono
"La energía de activación en una reacción química es:","A) La energía liberada por la reacción","B) La energía mínima que deben tener los reactivos para que ocurra la reacción","C) La energía absorbida por los productos","D) La diferencia de energía entre reactivos y productos",B,Química,Reacciones químicas endotérmicas y exotérmicas
