pregunta,a,b,c,d,correcta,materia,tema
"¿Qué tipo de mutación cambia un codón por otro que codifica un aminoácido diferente?","A) Mutación silenciosa","B) Mutación sin sentido","C) Mutación con cambio de sentido","D) Mutación de frameshift",C,Biología,Mecanismos de la herencia
"¿Qué científico realizó el experimento del caldo de cultivo con matraces de cuello de cisne?","A) Francesco Redi","B) Louis Pasteur","C) Stanley Miller","D) Alexander Oparin",B,Biología,Evolución
"¿Qué tipo de estructura anatómica es el ala de un ave y el ala de un insecto?","A) Estructuras homólogas","B) Estructuras análogas","C) Estructuras vestigiales","D) Estructuras adaptativas",B,Biología,Evolución
"¿Qué proceso ecológico describe el aumento en la concentración de sustancias tóxicas a lo largo de la cadena alimenticia?","A) Bioacumulación","B) Biodegradación","C) Eutrofización","D) Biomagnificación",D,Biología,Los seres vivos y su ambiente
"¿Qué gas es un subproducto de la respiración celular?","A) Oxígeno","B) Dióxido de carbono","C) Nitrógeno","D) Hidrógeno",B,Biología,Metabolismo celular
"¿Qué tipo de célula tiene mitocondrias pero no cloroplastos?","A) Célula vegetal","B) Célula animal","C) Célula de algas","D) Célula de hongos",B,Biología,Célula
"¿Qué proceso metabólico utiliza oxígeno y produce dióxido de carbono, agua y ATP?","A) Fotosíntesis","B) Respiración aerobia","C) Fermentación","D) Glucólisis",B,Biología,Metabolismo celular
"¿Qué tipo de reproducción asexual ocurre en las hidras?","A) Bipartición","B) Gemación","C) Fragmentación","D) Esporulación",B,Biología,Reproducción
"¿Qué término describe la apariencia física de un organismo?","A) Genotipo","B) Fenotipo","C) Alelo","D) Locus",B,Biología,Mecanismos de la herencia
"¿Qué técnica de ingeniería genética se utiliza para cortar ADN en secuencias específicas?","A) PCR","B) Electroforesis","C) Enzimas de restricción","D) Clonación",C,Biología,Mecanismos de la herencia
"¿Qué teoría propone que los cambios evolutivos ocurren en ráfagas seguidas por períodos de estabilidad?","A) Gradualismo","B) Equilibrio puntuado","C) Uniformitarianismo","D) Catastrofismo",B,Biología,Evolución
"¿Qué tipo de evidencia evolutiva se basa en la distribución geográfica de las especies?","A) Evidencia paleontológica","B) Evidencia anatómica","C) Evidencia biogeográfica","D) Evidencia molecular",C,Biología,Evolución
"¿Qué proceso ecológico describe la relación entre un parásito y su huésped?","A) Mutualismo","B) Comensalismo","C) Parasitismo","D) Competencia",C,Biología,Los seres vivos y su ambiente
"¿Qué gas es necesario para la fotosíntesis?","A) Oxígeno","B) Dióxido de carbono","C) Nitrógeno","D) Hidrógeno",B,Biología,Metabolismo celular
"¿Qué tipo de célula tiene cloroplastos?","A) Célula animal","B) Célula vegetal","C) Célula bacteriana","D) Célula fúngica",B,Biología,Célula
"¿Qué proceso metabólico produce alcohol o ácido láctico?","A) Respiración aerobia","B) Fermentación","C) Glucólisis","D) Ciclo de Krebs",B,Biología,Metabolismo celular
"¿Qué etapa de la mitosis se caracteriza por la formación de dos núcleos nuevos?","A) Profase","B) Metafase","C) Anafase","D) Telofase",D,Biología,Reproducción
"¿Qué tipo de herencia muestra un patrón donde el fenotipo del heterocigoto es intermedio entre los dos homocigotos?","A) Dominancia completa","B) Codominancia","C) Herencia intermedia","D) Herencia ligada al sexo",C,Biología,Mecanismos de la herencia
"¿Qué técnica de ADN recombinante se utiliza para insertar genes en bacterias?","A) PCR","B) Transformación","C) Electroforesis","D) Secuenciación",B,Biología,Mecanismos de la herencia
"¿Qué teoría propone que la vida surgió de compuestos inorgánicos en la Tierra primitiva?","A) Panspermia","B) Generación espontánea","C) Abiogénesis","D) Creacionismo",C,Biología,Evolución
"¿Qué tipo de evidencia evolutiva se basa en los fósiles?","A) Evidencia paleontológica","B) Evidencia anatómica","C) Evidencia embriológica","D) Evidencia molecular",A,Biología,Evolución
"¿Qué proceso ecológico describe la relación donde una especie se beneficia y la otra no es afectada?","A) Mutualismo","B) Comensalismo","C) Parasitismo","D) Competencia",B,Biología,Los seres vivos y su ambiente
"¿Qué gas es producido por la respiración y utilizado por la fotosíntesis?","A) Oxígeno","B) Dióxido de carbono","C) Nitrógeno","D) Metano",B,Biología,Metabolismo celular
"¿Qué tipo de célula tiene un núcleo verdadero?","A) Procariota","B) Eucariota","C) Bacteriana","D) Archaea",B,Biología,Célula
"¿Qué proceso metabólico ocurre en el citoplasma y no requiere oxígeno?","A) Ciclo de Krebs","B) Cadena de transporte de electrones","C) Glucólisis","D) Fosforilación oxidativa",C,Biología,Metabolismo celular
"¿Qué tipo de reproducción produce descendencia genéticamente idéntica?","A) Reproducción sexual","B) Reproducción asexual","C) Fecundación","D) Meiosis",B,Biología,Reproducción
"¿Qué ley de Mendel establece que los alelos de un gen se separan durante la formación de gametos?","A) Primera ley","B) Segunda ley","C) Tercera ley","D) Ley de la segregación",A,Biología,Mecanismos de la herencia
"¿Qué teoría propone que los genes están ubicados en los cromosomas?","A) Teoría de la evolución","B) Teoría cromosómica de la herencia","C) Teoría celular","D) Teoría de la pangénesis",B,Biología,Mecanismos de la herencia
"¿Qué tipo de selección natural favorece a un fenotipo extremo?","A) Selección direccional","B) Selección disruptiva","C) Selección estabilizadora","D) Selección sexual",A,Biología,Evolución
"¿Qué proceso ecológico describe el reciclaje de nutrientes como el carbono y el nitrógeno?","A) Flujo de energía","B) Ciclo biogeoquímico","C) Sucesión ecológica","D) Competencia",B,Biología,Los seres vivos y su ambiente
"¿Qué contaminante del aire es un gas de efecto invernadero?","A) Oxígeno","B) Nitrógeno","C) Dióxido de carbono","D) Argón",C,Biología,Los seres vivos y su ambiente
"¿Qué organelo celular es responsable de la producción de ATP?","A) Núcleo","B) Mitocondria","C) Cloroplasto","D) Retículo endoplásmico",B,Biología,Célula
"¿Qué fase de la meiosis incluye el entrecruzamiento?","A) Profase I","B) Metafase I","C) Anafase I","D) Telofase I",A,Biología,Reproducción
"¿Qué tipo de mutación resulta de la inserción o deleción de nucleótidos, cambiando el marco de lectura?","A) Mutación silenciosa","B) Mutación sin sentido","C) Mutación con cambio de sentido","D) Mutación de frameshift",D,Biología,Mecanismos de la herencia
"¿Qué científico realizó el experimento con chícharos que sentó las bases de la genética?","A) Charles Darwin","B) Gregor Mendel","C) Thomas Hunt Morgan","D) James Watson",B,Biología,Mecanismos de la herencia
"¿Qué tipo de estructura anatómica es la cola en los embriones humanos?","A) Estructura homóloga","B) Estructura análoga","C) Estructura vestigial","D) Estructura adaptativa",C,Biología,Evolución
"¿Qué proceso ecológico describe el aumento en la concentración de una sustancia tóxica en los tejidos de un organismo a lo largo del tiempo?","A) Bioacumulación","B) Biomagnificación","C) Eutrofización","D) Biodegradación",A,Biología,Los seres vivos y su ambiente
"¿Qué gas es liberado por las plantas durante la fotosíntesis?","A) Dióxido de carbono","B) Oxígeno","C) Nitrógeno","D) Hidrógeno",B,Biología,Metabolismo celular
"¿Qué tipo de célula tiene una membrana celular pero no una pared celular?","A) Célula vegetal","B) Célula animal","C) Célula bacteriana","D) Célula fúngica",B,Biología,Célula
"¿Qué proceso metabólico produce la mayor cantidad de ATP en presencia de oxígeno?","A) Glucólisis","B) Fermentación","C) Respiración aerobia","D) Respiración anaerobia",C,Biología,Metabolismo celular
"¿Qué tipo de reproducción involucra la fusión de gametos haploides?","A) Reproducción asexual","B) Reproducción sexual","C) Bipartición","D) Gemación",B,Biología,Reproducción
"¿Qué término describe la composición genética de un organismo?","A) Fenotipo","B) Genotipo","C) Alelo","D) Locus",B,Biología,Mecanismos de la herencia
"¿Qué técnica de ingeniería genética se utiliza para producir muchas copias de una secuencia de ADN?","A) Electroforesis","B) Clonación","C) PCR","D) Secuenciación",C,Biología,Mecanismos de la herencia
"¿Qué teoría propone que las especies evolucionan gradualmente a lo largo del tiempo?","A) Equilibrio puntuado","B) Gradualismo","C) Catastrofismo","D) Uniformitarianismo",B,Biología,Evolución
"¿Qué tipo de evidencia evolutiva se basa en la similitud de estructuras óseas entre especies?","A) Evidencia paleontológica","B) Evidencia anatómica","C) Evidencia embriológica","D) Evidencia molecular",B,Biología,Evolución
"¿Qué proceso ecológico describe la lucha entre individuos por recursos limitados?","A) Competencia","B) Depredación","C) Mutualismo","D) Parasitismo",A,Biología,Los seres vivos y su ambiente
"¿Qué gas es absorbido por las plantas durante la fotosíntesis?","A) Oxígeno","B) Dióxido de carbono","C) Nitrógeno","D) Hidrógeno",B,Biología,Metabolismo celular
"¿Qué tipo de célula tiene ribosomas?","A) Solo células eucariotas","B) Solo células procariotas","C) Tanto células eucariotas como procariotas","D) Ninguna de las anteriores",C,Biología,Célula
"¿Qué proceso metabólico convierte la glucosa en piruvato?","A) Ciclo de Krebs","B) Glucólisis","C) Cadena de transporte de electrones","D) Fermentación",B,Biología,Metabolismo celular
"¿Qué etapa de la mitosis se caracteriza por la condensación de los cromosomas?","A) Profase","B) Metafase","C) Anafase","D) Telofase",A,Biología,Reproducción
"¿Qué tipo de herencia muestra un patrón donde un gen afecta múltiples características?","A) Pleiotropía","B) Poligenia","C) Codominancia","D) Herencia ligada al sexo",A,Biología,Mecanismos de la herencia
"¿Qué técnica de ADN recombinante se utiliza para separar proteínas por tamaño?","A) PCR","B) Electroforesis en gel","C) Clonación","D) Secuenciación",B,Biología,Mecanismos de la herencia
"¿Qué teoría propone que los orgánulos eucariotas como las mitocondrias surgieron de bacterias simbióticas?","A) Teoría celular","B) Teoría endosimbiótica","C) Teoría de la panspermia","D) Teoría de la generación espontánea",B,Biología,Evolución
"¿Qué tipo de evidencia evolutiva se basa en la similitud de proteínas entre especies?","A) Evidencia paleontológica","B) Evidencia anatómica","C) Evidencia molecular","D) Evidencia biogeográfica",C,Biología,Evolución
"¿Qué proceso ecológico describe la relación donde ambas especies se benefician?","A) Competencia","B) Depredación","C) Mutualismo","D) Parasitismo",C,Biología,Los seres vivos y su ambiente
"¿Qué gas es un subproducto de la fermentación alcohólica?","A) Oxígeno","B) Dióxido de carbono","C) Nitrógeno","D) Hidrógeno",B,Biología,Metabolismo celular
"¿Qué tipo de célula tiene un tamaño generalmente mayor?","A) Procariota","B) Eucariota","C) Bacteriana","D) Archaea",B,Biología,Célula
"¿Qué proceso metabólico requiere clorofila?","A) Respiración celular","B) Fotosíntesis","C) Fermentación","D) Glucólisis",B,Biología,Metabolismo celular
"¿Qué tipo de reproducción produce esporas?","A) Reproducción sexual","B) Reproducción asexual","C) Ambos tipos","D) Ninguno de los anteriores",C,Biología,Reproducción
"¿Qué ley de Mendel se aplica a la herencia de dos caracteres simultáneamente?","A) Primera ley","B) Segunda ley","C) Tercera ley","D) Ley de la dominancia",B,Biología,Mecanismos de la herencia
"¿Qué teoría propone que los genes están en los cromosomas y que los cromosomas se heredan?","A) Teoría de la evolución","B) Teoría cromosómica de la herencia","C) Teoría celular","D) Teoría de la pangénesis",B,Biología,Mecanismos de la herencia
"¿Qué tipo de selección natural favorece a los fenotipos extremos en ambos lados del espectro?","A) Selección direccional","B) Selección disruptiva","C) Selección estabilizadora","D) Selección sexual",B,Biología,Evolución
"¿Qué proceso ecológico describe el paso de energía de un organismo a otro?","A) Ciclo biogeoquímico","B) Flujo de energía","C) Sucesión ecológica","D) Competencia",B,Biología,Los seres vivos y su ambiente
"¿Qué contaminante del agua es causado por derrames de petróleo?","A) Nitratos","B) Fosfatos","C) Hidrocarburos","D) Metales pesados",C,Biología,Los seres vivos y su ambiente
"¿Qué organelo celular almacena agua y nutrientes en las células vegetales?","A) Mitocondria","B) Cloroplasto","C) Vacuola","D) Núcleo",C,Biología,Célula
"¿Qué fase de la meiosis resulta en células haploides?","A) Meiosis I","B) Meiosis II","C) Ambas","D) Ninguna",C,Biología,Reproducción
"¿Qué tipo de mutación no cambia la secuencia de aminoácidos de una proteína?","A) Mutación silenciosa","B) Mutación sin sentido","C) Mutación con cambio de sentido","D) Mutación de frameshift",A,Biología,Mecanismos de la herencia
"¿Qué científico propuso la teoría de la evolución por uso y desuso?","A) Charles Darwin","B) Gregor Mendel","C) Jean-Baptiste Lamarck","D) Alfred Russel Wallace",C,Biología,Evolución
"¿Qué tipo de estructura anatómica es el brazo humano y la aleta de una ballena?","A) Estructuras homólogas","B) Estructuras análogas","C) Estructuras vestigiales","D) Estructuras adaptativas",A,Biología,Evolución
"¿Qué proceso ecológico describe la concentración de sustancias tóxicas a lo largo de la cadena alimenticia?","A) Bioacumulación","B) Biomagnificación","C) Eutrofización","D) Biodegradación",B,Biología,Los seres vivos y su ambiente
"¿Qué gas es utilizado por las plantas durante la fotosíntesis para producir glucosa?","A) Oxígeno","B) Dióxido de carbono","C) Nitrógeno","D) Hidrógeno",B,Biología,Metabolismo celular
"¿Qué tipo de célula tiene una pared celular de peptidoglicano?","A) Célula vegetal","B) Célula animal","C) Célula bacteriana","D) Célula fúngica",C,Biología,Célula
"¿Qué proceso metabólico produce ATP sin oxígeno?","A) Respiración aerobia","B) Fermentación","C) Ciclo de Krebs","D) Cadena de transporte de electrones",B,Biología,Metabolismo celular
"¿Qué tipo de reproducción involucra la formación de gametos?","A) Reproducción asexual","B) Reproducción sexual","C) Bipartición","D) Gemación",B,Biología,Reproducción
"¿Qué término describe la ubicación de un gen en un cromosoma?","A) Alelo","B) Locus","C) Genotipo","D) Fenotipo",B,Biología,Mecanismos de la herencia
"¿Qué técnica de ingeniería genética se utiliza para determinar el orden de los nucleótidos en el ADN?","A) PCR","B) Electroforesis","C) Clonación","D) Secuenciación",D,Biología,Mecanismos de la herencia
"¿Qué teoría propone que las especies permanecen iguales por largos períodos y luego cambian rápidamente?","A) Gradualismo","B) Equilibrio puntuado","C) Catastrofismo","D) Uniformitarianismo",B,Biología,Evolución
"¿Qué tipo de evidencia evolutiva se basa en el estudio de los embriones?","A) Evidencia paleontológica","B) Evidencia anatómica","C) Evidencia embriológica","D) Evidencia molecular",C,Biología,Evolución
"¿Qué proceso ecológico describe la relación donde una especie se beneficia a expensas de otra?","A) Competencia","B) Depredación","C) Mutualismo","D) Parasitismo",D,Biología,Los seres vivos y su ambiente
"¿Qué gas es producido por la respiración celular?","A) Oxígeno","B) Dióxido de carbono","C) Nitrógeno","D) Hidrógeno",B,Biología,Metabolismo celular
"¿Qué tipo de célula carece de organelos membranosos?","A) Eucariota","B) Procariota","C) Vegetal","D) Animal",B,Biología,Célula
"¿Qué proceso metabólico ocurre en las mitocondrias?","A) Fotosíntesis","B) Respiración celular","C) Fermentación","D) Glucólisis",B,Biología,Metabolismo celular
"¿Qué tipo de reproducción resulta en clones?","A) Reproducción sexual","B) Reproducción asexual","C) Fecundación","D) Meiosis",B,Biología,Reproducción
"¿Qué ley de Mendel se conoce como la ley de la segregación?","A) Primera ley","B) Segunda ley","C) Tercera ley","D) Ley de la dominancia",A,Biología,Mecanismos de la herencia
"¿Qué teoría propone que los genes son las unidades de la herencia?","A) Teoría de la evolución","B) Teoría cromosómica de la herencia","C) Teoría celular","D) Teoría de la pangénesis",B,Biología,Mecanismos de la herencia
"¿Qué tipo de selección natural favorece a los fenotipos que son más atractivos para el sexo opuesto?","A) Selección direccional","B) Selección disruptiva","C) Selección estabilizadora","D) Selección sexual",D,Biología,Evolución
"¿Qué proceso ecológico describe el cambio en la composición de especies en un área a lo largo del tiempo?","A) Ciclo biogeoquímico","B) Flujo de energía","C) Sucesión ecológica","D) Competencia",C,Biología,Los seres vivos y su ambiente
"¿Qué contaminante del aire es emitido por los automóviles y puede causar problemas respiratorios?","A) Dióxido de carbono","B) Ozono a nivel del suelo","C) Nitrógeno","D) Argón",B,Biología,Los seres vivos y su ambiente
"¿Qué organelo celular es responsable de la fotosíntesis?","A) Mitocondria","B) Cloroplasto","C) Vacuola","D) Núcleo",B,Biología,Metabolismo celular
"¿Qué fase de la meiosis incluye la separación de cromosomas homólogos?","A) Profase I","B) Metafase I","C) Anafase I","D) Telofase I",C,Biología,Reproducción
"¿Qué tipo de mutación cambia un codón por un codón de parada?","A) Mutación silenciosa","B) Mutación sin sentido","C) Mutación con cambio de sentido","D) Mutación de frameshift",B,Biología,Mecanismos de la herencia
"¿Qué científico propuso la teoría de la selección natural junto con Darwin?","A) Gregor Mendel","B) Thomas Hunt Morgan","C) Alfred Russel Wallace","D) James Watson",C,Biología,Evolución
"¿Qué tipo de estructura anatómica es el pelo en los mamíferos y las plumas en las aves?","A) Estructuras homólogas","B) Estructuras análogas","C) Estructuras vestigiales","D) Estructuras adaptativas",A,Biología,Evolución
"¿Qué proceso ecológico describe la acumulación de nutrientes en un cuerpo de agua que causa crecimiento excesivo de algas?","A) Bioacumulación","B) Biomagnificación","C) Eutrofización","D) Biodegradación",C,Biología,Los seres vivos y su ambiente
"Durante la fase oscura o ciclo de Calvin de la fotosíntesis, ¿qué molécula de 3 carbonos se produce inicialmente y puede usarse para sintetizar glucosa?","A) Ácido pirúvico","B) Ribulosa-1,5-bisfosfato (RuBP)","C) Gliceraldehído-3-fosfato (G3P)","D) Acetil CoA",C,Biología,Metabolismo celular
"En el contexto de la teoría cromosómica de la herencia, el fenómeno de 'ligamiento' se refiere a:","A) La separación independiente de cromosomas no homólogos durante la meiosis.","B) La tendencia de genes ubicados en el mismo cromosoma a heredarse juntos.","C) El entrecruzamiento entre cromátidas no hermanas.","D) La mutación espontánea de un gen a su alelo recesivo.",B,Biología,Mecanismos de la herencia
"La 'plasticidad fenotípica' es un concepto evolutivo que describe:","A) La capacidad de un genotipo de producir diferentes fenotipos en respuesta a cambios ambientales.","B) La tasa de mutación de los genes en una población.","C) La deriva génica en poblaciones pequeñas.","D) El flujo genético entre dos poblaciones aisladas.",A,Biología,Evolución
"¿Qué tipo de interacción ecológica describe específicamente la relación entre un hongo y las raíces de una planta, donde ambos se benefician?","A) Parasitismo","B) Comensalismo","C) Micorriza","D) Liquen",C,Biología,Los seres vivos y su ambiente
"En la respiración celular aerobia, ¿cuál es el propósito principal del ciclo de Krebs (ciclo del ácido cítrico)?","A) Producir una pequeña cantidad de ATP y una gran cantidad de portadores de electrones reducidos (NADH, FADH2).","B) Producir oxígeno para la cadena de transporte de electrones.","C) Convertir la glucosa directamente en piruvato.","D) Realizar la fosforilación oxidativa para generar la mayor parte del ATP.",A,Biología,Metabolismo celular
"¿Qué término de la genética mendeliana describe a un individuo que posee dos alelos idénticos para un gen determinado?","A) Heterocigoto","B) Homocigoto","C) Hemocigoto","D) Dominante",B,Biología,Mecanismos de la herencia
"La 'capacidad de carga' (K) de un ecosistema para una población específica se define como:","A) La tasa máxima de crecimiento de dicha población.","B) El tamaño máximo de población que el ambiente puede sostener indefinidamente.","C) La proporción de nacimientos sobre muertes en un tiempo dado.","D) La cantidad de depredadores que controlan el tamaño de la población.",B,Biología,Los seres vivos y su ambiente
