pregunta,a,b,c,d,correcta,materia,tema
"Liberales radicales defendían:","A) Sufragio universal masculino","B) Sufragio censitario restrictivo","C) Voto solo para nobles","D) Gobierno de dictador",A,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, La lucha entre el liberalismo y conservadurismo"
"La Primera Internacional fue fundada para:","A) Intereses industriales","B) Agrupar sindicatos y partidos obreros","C) Expansión colonial","D) Defender gremios",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"El Zollverein fue una:","A) Unión aduanera alemana","B) Partido nacionalista italiano","C) Tratado militar","D) Revuelta campesina",A,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"La batalla de Sedán (1870) fue decisiva para:","A) Unificación italiana","B) Derrota francesa y proclamación del Imperio Alemán","C) Independencia de Grecia","D) Guerra de Crimea",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"El incidente de Fashoda enfrentó a:","A) Francia y Gran Bretaña en África","B) Alemania y Francia","C) Rusia y Austria","D) Italia y Turquía",A,Historia Universal,"El imperialismo, La expansión colonial y las rivalidades imperialistas"
"La teoría de la evolución de Darwin influyó en el imperialismo al:","A) Proporcionar base pseudocientífica para racismo","B) Promover vegetarianismo","C) Demostrar igualdad biológica","D) Proteger especies",A,Historia Universal,"El imperialismo, La expansión colonial y las rivalidades imperialistas"
"La ""Gran Guerra"" es:","A) Guerra de los Cien Años","B) Primera Guerra Mundial","C) Segunda Guerra Mundial","D) Guerra Fría",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"El telegrama Zimmermann proponía alianza alemana con:","A) Canadá","B) México","C) Japón","D) Brasil",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"Los ""Soviets"" en la Revolución Rusa eran:","A) Consejos de obreros y soldados","B) Miembros del partido bolchevique","C) Terratenientes","D) Oficiales zaristas",A,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"La Tercera Internacional (Komintern) fue creada por:","A) Socialdemócratas","B) Bolcheviques para promover revolución mundial","C) Países capitalistas","D) Sociedad de Naciones",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"El artículo 231 del Tratado de Versailles es la cláusula de:","A) Sociedad de Naciones","B) Culpabilidad de guerra de Alemania","C) Desarme universal","D) Autodeterminación",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"La hiperinflación en la República de Weimar (1923) tuvo como consecuencia:","A) Enriquecimiento clase media","B) Destrucción de ahorros y descontento","C) Estabilidad política","D) Aceptación del Tratado",B,Historia Universal,"El mundo entre guerras, La Crisis de 1929"
"El fascismo se presentaba como ""tercera vía"" opuesta a:","A) Solo comunismo","B) Solo capitalismo","C) Liberalismo y comunismo","D) Colonialismo",C,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"El Gulag en la URSS era:","A) Plan económico","B) Agencia espionaje","C) Sistema de campos de trabajo forzado","D) Granja colectiva",C,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"El pacto Molotov-Ribbentrop (1939) fue de:","A) No agresión entre Alemania nazi y URSS","B) Alianza militar","C) Ayuda económica","D) Reparto de África",A,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"La ""Solución Final"" nazi era el plan para:","A) Invadir Gran Bretaña","B) Ganar en el Pacífico","C) Exterminio de judíos","D) Desarrollar bomba atómica",C,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"El desembarco de Normandía abrió:","A) Frente Pacífico","B) Frente oriental","C) Segundo frente en Europa Occidental","D) Frente africano",C,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"La Conferencia de Potsdam (1945) definió:","A) Desembarco en Normandía","B) Reparto de Alemania y reparaciones","C) Creación Sociedad de Naciones","D) Formación OTAN",B,Historia Universal,"Segunda Guerra Mundial, Las consecuencias"
"La Guerra Fría se manifestó en conflictos como:","A) Segunda Guerra Mundial","B) Guerra de Corea y Vietnam","C) Primera Guerra Mundial","D) Guerras Napoleónicas",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"El ""Telón de Acero"" fue expresión acuñada por:","A) Truman","B) Churchill","C) Stalin","D) Gorbachov",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"La OTAN es una alianza de carácter:","A) Económico","B) Militar defensivo","C) Cultural","D) Deportivo",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"La Guerra de Corea terminó con:","A) Victoria total Corea del Norte","B) Victoria total Corea del Sur","C) Armisticio y zona desmilitarizada","D) Anexión por China",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"La crisis de misiles en Cuba ocurrió bajo presidente:","A) Truman","B) Eisenhower","C) Kennedy","D) Nixon",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"La ""Coexistencia Pacífica"" fue promovida por:","A) Stalin","B) Jrushchov","C) Brézhnev","D) Gorbachov",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"La independencia de Argelia se logró en:","A) 1954","B) 1962","C) 1975","D) 1945",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"La Perestroika buscaba:","A) Reestructurar economía soviética","B) Volver al estalinismo","C) Expandir dominio soviético","D) Aislar URSS",A,Historia Universal,"El mundo actual, La caída del bloque soviético"
"La globalización ha sido impulsada por:","A) Prohibición comercio","B) Avances en transporte y telecomunicaciones","C) Fortalecimiento aduanas","D) Autarquía",B,Historia Universal,"El mundo actual, La globalización económica y política"
"La biotecnología es parte del:","A) Retroceso científico","B) Desarrollo científico actual","C) Pensamiento mágico","D) Movimiento ludita",B,Historia Universal,"El mundo actual, El desarrollo científico y tecnológico"
"La carrera espacial logró hitos como:","A) Primer satélite (Sputnik) y llegada a la Luna","B) Estación espacial solo europea","C) Vida en Marte","D) Viajes interestelares",A,Historia Universal,"El mundo actual, El desarrollo científico y tecnológico"
"La Revolución Verde del siglo XX se refiere a:","A) Movimiento ecologista","B) Innovaciones agrícolas que aumentaron producción","C) Independencia colonias","D) Revolución socialista en China",B,Historia Universal,"El mundo actual, El desarrollo científico y tecnológico"
"La historiografía es:","A) Estudio escritura antigua","B) Conjunto de obras escritas sobre la historia","C) Recolección arqueológica","D) Línea de tiempo",B,Historia Universal,"La Historia, Definición y utilidad de la Historia"
"Fuente histórica primaria es:","A) Libro de texto de 2020","B) Carta de soldado de 1916","C) Película histórica","D) Artículo enciclopedia",B,Historia Universal,"La Historia, Definición y utilidad de la Historia"
"La Edad Moderna comienza con:","A) Caída Imperio Romano","B) Descubrimiento de América o caída de Constantinopla","C) Revolución Francesa","D) Primera Guerra Mundial",B,Historia Universal,"La Historia, Periodización de la Historia"
"La Ilustración promovía gobierno basado en:","A) Monarquía absoluta","B) Soberanía popular y separación de poderes","C) Teocracia","D) Aristocracia hereditaria",B,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"Voltaire defendía especialmente:","A) Derecho divino reyes","B) Libertad pensamiento y expresión","C) Socialismo","D) Absolutismo",B,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"La burguesía en ascenso promovía sistema económico basado en:","A) Feudalismo","B) Liberalismo y libre empresa","C) Socialismo estatal","D) Mercantilismo extremo",B,Historia Universal,"Las Revoluciones burguesas, El fortalecimiento de la burguesía"
"Revoluciones burguesas como la francesa buscaban:","A) Dictadura proletariado","B) Derrocar monarquía absoluta e instaurar orden favorable a burguesía","C) Restaurar poder Iglesia","D) Expandir colonias",B,Historia Universal,"Las Revoluciones burguesas, El fortalecimiento de la burguesía"
"El socialismo utópico de Robert Owen proponía:","A) Lucha de clases violenta","B) Modelos ideales de sociedad por convencimiento","C) Propiedad privada sin límites","D) Industrialización sin regulación",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"La Segunda Internacional se fundó en 1889 para:","A) Coordinar partidos socialistas y obreros","B) Liderar Revolución Rusa","C) Administrar colonias","D) Combatir sindicatos",A,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"La unificación italiana se completó con anexión de Roma, antes parte de:","A) Imperio Austrohúngaro","B) Estados Pontificios","C) Reino de las Dos Sicilias","D) Francia",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"Colonización de África a fines del siglo XIX se llama:","A) Reparto de África","B) Conquista de América","C) Descolonización","D) Imperialismo Asiático",A,Historia Universal,"El imperialismo, La expansión colonial y las rivalidades imperialistas"
"La batalla del Marne (1914) fue importante porque:","A) Fracasó plan alemán de guerra rápida","B) Fue victoria decisiva Potencias Centrales","C) Entrada EE.UU.","D) Rendición Rusia",A,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"La entrada de EE.UU. a la Primera Guerra Mundial (1917) favoreció a:","A) Potencias Centrales","B) Triple Alianza","C) Triple Entente","D) Ninguno",C,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"Revolución de Febrero (marzo) 1917 en Rusia derrocó a:","A) Bolcheviques","B) Gobierno provisional","C) Zar Nicolás II","D) Mencheviques",C,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"Lema ""Paz, pan y tierra"" reflejaba demandas de:","A) Nobles","B) Soldados, campesinos y obreros","C) Burguesía industrial","D) Intelectuales",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"Guerra Civil Rusa (1918-21) enfrentó a bolcheviques contra:","A) Solo fuerzas extranjeras","B) Mencheviques y ejércitos blancos apoyados por extranjeros","C) Solo campesinos","D) Gobierno provisional",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"El Jueves Negro (24 oct 1929) es:","A) Inicio Segunda Guerra","B) Crack Bolsa Nueva York","C) Toma poder nazis","D) Inicio Revolución Rusa",B,Historia Universal,"El mundo entre guerras, La Crisis de 1929"
"Política de ""apaciguamiento"" hacia Alemania nazi consistió en:","A) Confrontar cada expansión","B) Conceder demandas para evitar guerra","C) Alianza con URSS","D) Ignorar acciones",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Fascismo italiano caracterizado por:","A) Internacionalismo","B) Nacionalismo extremo, culto al líder y rechazo democracia","C) Defensa derechos individuales","D) Economía planificada soviética",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Leyes de Núremberg (1935) establecieron:","A) Igualdad ciudadanos","B) Privación derechos y persecución legal de judíos","C) Disolución partido nazi","D) Alianza con URSS",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
""Noche de los cuchillos largos"" (1934) fue:","A) Purga dentro partido nazi","B) Ataque aéreo a Londres","C) Invasión Polonia","D) Firma pacto Ribbentrop-Mólotov",A,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Planes quinquenales de Stalin buscaban:","A) Restaurar propiedad privada","B) Industrializar URSS y colectivizar agricultura","C) Inversión extranjera sin límites","D) Reducir producción acero",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Batalla de Inglaterra (1940) fue principalmente:","A) Batalla naval","B) Batalla terrestre África","C) Bombardeos aéreos alemanes sobre Gran Bretaña","D) Batalla de tanques",C,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"Conferencia de Yalta (1945) reunió a:","A) Hitler, Mussolini, Hirohito","B) Churchill, Roosevelt, Stalin","C) Truman, Churchill, Stalin","D) De Gaulle, Eisenhower, Zhúkov",B,Historia Universal,"Segunda Guerra Mundial, Las consecuencias"
"Guerra Fría se llamó así porque:","A) Se libró en regiones polares","B) Fue conflicto indirecto sin guerra abierta total","C) Ocurrió en glaciación","D) Batallas baja intensidad",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Plan Marshall fue:","A) Plan militar OTAN","B) Ayuda económica EE.UU. para reconstruir Europa Occidental","C) Estrategia soviética control Europa Este","D) Plan nuclear URSS",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Bloqueo de Berlín (1948-49) resultó en:","A) Rendición Berlín Occidental","B) Retirada aliados","C) Puente aéreo de EE.UU. y aliados","D) Inicio Guerra Corea",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
""Cortina de Acero"" designaba:","A) Tecnología militar","B) Frontera física e ideológica que dividía Europa","C) Sistema defensa Francia","D) Acuerdo comercial",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Independencia India (1947) resultó en creación de:","A) India y Ceilán","B) India y Pakistán","C) India y Bangladesh","D) India y Birmania",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"Política de ""glasnost"" (transparencia) fue impulsada por:","A) Brézhnev","B) Stalin","C) Jrushchov","D) Gorbachov",D,Historia Universal,"El mundo actual, La caída del bloque soviético"
"Cambio climático es preocupación del:","A) Mundo medieval","B) Período entreguerras","C) Imperialismo siglo XIX","D) Mundo actual, derivada de desarrollo industrial",D,Historia Universal,"El mundo actual, La globalización económica y política"
"Historia estudia pasado a través de análisis crítico de:","A) Mitos","B) Fuentes","C) Adivinación","D) Tradición oral solo",B,Historia Universal,"La Historia, Definición y utilidad de la Historia"
"Periodización a.C./d.C. es convención:","A) Cristiana","B) Musulmana","C) Judía","D) Romana",A,Historia Universal,"La Historia, Periodización de la Historia"
"Ilustración promovía conocimiento basado en:","A) Fe","B) Tradición","C) Razón","D) Emoción",C,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
""Enciclopedia"" buscaba difundir pensamiento:","A) Teológico","B) Racional y crítico","C) Monárquico absoluto","D) Medieval",B,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"Burguesía se fortaleció por acumulación de:","A) Títulos","B) Capital","C) Tierras","D) Cargos eclesiásticos",B,Historia Universal,"Las Revoluciones burguesas, El fortalecimiento de la burguesía"
""Laissez faire"" asociado a:","A) Socialismo","B) Liberalismo económico","C) Mercantilismo","D) Feudalismo",B,Historia Universal,"Las Revoluciones burguesas, El liberalismo económico y político del siglo XIX"
""La riqueza de las naciones"" es obra de:","A) Ricardo","B) Malthus","C) Smith","D) Marx",C,Historia Universal,"Las Revoluciones burguesas, El liberalismo económico y político del siglo XIX"
"Liberalismo político defendía:","A) Monarquía absoluta","B) Soberanía nacional y derechos","C) Dictadura proletariado","D) Supremacía eclesiástica",B,Historia Universal,"Las Revoluciones burguesas, El liberalismo económico y político del siglo XIX"
"Lucha liberales vs conservadores siglo XIX sobre:","A) Socialismo","B) Estado laico vs privilegios Antiguo Régimen","C) Monarquía o república","D) Expansionismo colonial",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, La lucha entre el liberalismo y conservadurismo"
"Conservadores defendían:","A) Cambio revolucionario","B) Tradición y autoridad","C) Soberanía popular","D) Igualdad económica",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, La lucha entre el liberalismo y conservadurismo"
"Congreso de Viena buscó:","A) Expandir ideas revolucionarias","B) Restaurar Antiguo Régimen","C) Promover independencias","D) Crear ONU",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, La lucha entre el liberalismo y conservadurismo"
"Socialismo científico formulado por:","A) Owen y Fourier","B) Marx y Engels","C) Bakunin y Proudhon","D) Saint-Simon",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
""¡Proletarios, uníos!"" en:","A) El Capital","B) Manifiesto Comunista","C) La riqueza de las naciones","D) El contrato social",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"Marxismo: motor historia es:","A) Grandes personajes","B) Lucha de clases","C) Voluntad divina","D) Tecnología",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"Anarquismo proponía:","A) Estado fuerte","B) Abolición gobierno","C) Dictadura partido","D) Retorno monarquía",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"Comuna de París fue:","A) Gobierno monárquico","B) Gobierno obrero popular","C) Consejo industriales","D) Parlamento conservador",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"Unificación alemana dirigida por:","A) Austria","B) Prusia bajo Bismarck","C) Baviera","D) Confederación Rin",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
""Sangre y hierro"" asociada a:","A) Garibaldi","B) Napoleón III","C) Bismarck","D) Cavour",C,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"Líder unificación italiana:","A) Víctor Manuel II","B) Mazzini","C) Cavour","D) Todos anteriores",D,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"Garibaldi conocido por:","A) Expedición Mil Camisas Rojas","B) Ser primer rey Italia","C) Negociar con Francia","D) Escribir manifiesto",A,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"Nacionalismo siglo XIX basado en:","A) Lealtad a monarca","B) Lengua, cultura común","C) Religión","D) Clase económica",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"Imperialismo motivado por:","A) Humanitarismo","B) Materias primas, mercados, prestigio","C) Equilibrar población","D) Difundir democracia",B,Historia Universal,"El imperialismo, La expansión colonial y las rivalidades imperialistas"
"Conferencia Berlín organizó:","A) Guerra a Otomano","B) Reparto África","C) Alianza contra EE.UU.","D) Fronteras Balcanes",B,Historia Universal,"El imperialismo, La expansión colonial y las rivalidades imperialistas"
""Darwinismo Social"" justificaba imperialismo con:","A) Ayuda igualitaria","B) Derecho superiores a dominar inferiores","C) Competencia perjudicial","D) Fortalecimiento colonias",B,Historia Universal,"El imperialismo, La expansión colonial y las rivalidades imperialistas"
"Expansión imperial facilitada por:","A) Imprenta","B) Ferrocarril, barco vapor, quinina","C) Rueda","D) Brújula",B,Historia Universal,"El imperialismo, La revolución científico-tecnológica"
"Teoría relatividad de:","A) Curie","B) Newton","C) Edison","D) Einstein",D,Historia Universal,"El imperialismo, La revolución científico-tecnológica"
"Detonante Primera Guerra Mundial:","A) Invasión Polonia","B) Asesinato archiduque Francisco Fernando","C) Firma Triple Alianza","D) Revolución Rusa",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"Alianzas enfrentadas 1914:","A) Triple Alianza y Triple Entente","B) Aliados y Eje","C) OTAN y Pacto Varsovia","D) Liga Naciones y Eje",A,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"Primera Guerra Mundial caracterizada por guerra de:","A) Movimientos rápidos","B) Trincheras","C) Guerrillas","D) Desgaste naval",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"Nuevo armamento 1914-18:","A) Bomba atómica","B) Tanques, aviones, gas","C) Misiles","D) Drones",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
""Paz Armada"" antes 1914:","A) Desarme","B) Carrera armamentista y alianzas","C) Sin conflictos","D) Hegemonía EE.UU.",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"Revolución Rusa 1917 bolcheviques liderada por:","A) Trotsky","B) Lenin","C) Stalin","D) Kerensky",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"Tratado Versailles impuso a Alemania:","A) Pérdida territorios, desmilitarización, reparaciones","B) Anulación deudas","C) Expansión colonial","D) Unión con Austria",A,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"Sociedad de Naciones creada para:","A) Repartir colonias","B) Promover paz","C) Gobierno mundial","D) Administrar Plan Marshall",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"Gran Depresión inició con crack en:","A) Londres","B) París","C) Nueva York","D) Berlín",C,Historia Universal,"El mundo entre guerras, La Crisis de 1929"
""New Deal"" por presidente:","A) Hoover","B) F. D. Roosevelt","C) Wilson","D) Coolidge",B,Historia Universal,"El mundo entre guerras, La Crisis de 1929"
"Hiperinflación Alemania 1923 por:","A) New Deal","B) Imprimir dinero para reparaciones","C) Especulación","D) Prosperidad años 20",B,Historia Universal,"El mundo entre guerras, La Crisis de 1929"
"Régimen fascista Italia liderado por:","A) Hitler","B) Mussolini","C) Franco","D) Stalin",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Ideología nacionalsocialista promovía:","A) Internacionalismo","B) Expansionismo y supremacía aria","C) Democracia","D) Libre comercio",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
""Mein Kampf"" escrito por:","A) Mussolini","B) Hitler","C) Franco","D) Stalin",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
""Noche cristales rotos"" (1938):","A) Celebración nazi","B) Pogromo contra judíos","C) Bombardeo Londres","D) Invasión Polonia",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Régimen Stalin caracterizado por:","A) Libre mercado","B) Colectivización forzosa y purgas","C) Coexistencia pacífica","D) Descentralización",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Inicio Segunda Guerra Mundial en Europa:","A) Pearl Harbor","B) Invasión Polonia por Alemania","C) Stalingrado","D) Normandía",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"Bloques enfrentados Segunda Guerra:","A) Aliados y Eje","B) OTAN y Pacto Varsovia","C) Triple Entente y Triple Alianza","D) Liga Naciones y Eje",A,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"Ataque Pearl Harbor provocó entrada de:","A) Alemania","B) EE.UU.","C) URSS","D) Italia",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"Batalla Stalingrado decisiva porque:","A) Liberación París","B) Primera gran derrota alemana oriental","C) Rendición Italia","D) Abrió frente africano",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"Día D es:","A) Rendición Japón","B) Desembarco Normandía","C) Caída Berlín","D) Pearl Harbor",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"Bombas atómicas Hiroshima y Nagasaki llevaron a:","A) Rendición Alemania","B) Entrada Italia","C) Rendición Japón y fin guerra","D) Inicio Guerra Corea",C,Historia Universal,"Segunda Guerra Mundial, Las consecuencias"
"ONU fundada en:","A) 1919","B) 1945","C) 1955","D) 1989",B,Historia Universal,"Segunda Guerra Mundial, Las consecuencias"
"Juicios Núremberg juzgaron a:","A) Líderes japoneses","B) Líderes nazis por crímenes","C) Líderes fascistas italianos","D) Soldados rasos",B,Historia Universal,"Segunda Guerra Mundial, Las consecuencias"
"Tras Segunda Guerra, bloques liderados por:","A) Reino Unido y Francia","B) EE.UU. y URSS","C) Alemania y Japón","D) China e India",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Los bloques de poder"
"Tensión sin confrontación directa EE.UU.-URSS:","A) Guerra Caliente","B) Guerra Desgaste","C) Guerra Fría","D) Coexistencia Pacífica",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Doctrina Truman promovía:","A) Aislacionismo","B) Contención comunismo con ayuda","C) Coexistencia","D) Descolonización Asia",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Alianza militar bloque occidental 1949:","A) Pacto Varsovia","B) OTAN","C) OEA","D) CEE",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Respuesta a OTAN, URSS creó:","A) Eje","B) Triple Entente","C) Pacto Varsovia","D) Comecón",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Muro Berlín símbolo de:","A) Unión europea","B) División Europa Guerra Fría","C) Prosperidad alemana","D) Caída comunismo",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Crisis misiles Cuba (1962) enfrentó a:","A) EE.UU. y China","B) EE.UU. y URSS","C) URSS y China","D) Cuba y México",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Guerra Corea (1950-53) enfrentó a:","A) Corea Norte (URSS/China) y Corea Sur (EE.UU./ONU)","B) Solo dos Coreas","C) EE.UU. y URSS directamente","D) China y Japón",A,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Guerra Vietnam enfrentó a:","A) URSS invadió Vietnam Sur","B) Vietnam Norte y Vietcong vs Vietnam Sur y EE.UU.","C) China ocupó Vietnam","D) Guerra rápida",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Descolonización tras 1945 implicó:","A) Nuevos imperios","B) Independencia colonias y nuevos Estados","C) Fusión colonias","D) Continuidad dominio europeo",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"Líder indio resistencia no violenta:","A) Nehru","B) Jinnah","C) Gandhi","D) Indira Gandhi",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"Conferencia Bandung (1955) reunió países de:","A) Europa y América","B) Asia y África recién independizados","C) Bloque soviético","D) Bloque capitalista",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"Apartheid sistema segregación en:","A) EE.UU.","B) India","C) Sudáfrica","D) Australia",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"Caída Muro Berlín 1989 simbolizó:","A) Inicio Segunda Guerra","B) Fortalecimiento comunismo","C) Fin Guerra Fría y colapso soviético","D) Reunificación inmediata Europa",C,Historia Universal,"El mundo actual, La caída del bloque soviético"
"URSS se disolvió en:","A) 1989","B) 1991","C) 1945","D) 1975",B,Historia Universal,"El mundo actual, La caída del bloque soviético"
"Globalización es proceso de:","A) Aislamiento económico","B) Interdependencia mundial","C) Fortalecimiento fronteras","D) Desaparición comercio",B,Historia Universal,"El mundo actual, La globalización económica y política"
"Internet ejemplo de:","A) Retroceso comunicativo","B) Desarrollo científico-tecnológico global","C) Iniciativa solo militar","D) Política aislamiento",B,Historia Universal,"El mundo actual, El desarrollo científico y tecnológico"
"Unión Europea ejemplo de:","A) Imperio colonial","B) Bloque militar agresivo","C) Integración regional","D) Estado nacional unitario",C,Historia Universal,"El mundo actual, La globalización económica y política"
"Problemas globales actuales:","A) Sin conflictos","B) Fin desigualdades","C) Cambio climático y terrorismo","D) Aislamiento total",C,Historia Universal,"El mundo actual, La globalización económica y política"
